wv,Eu,Er,Ho,Tb,Sm,Dy,Tm
211.02,-1.03E-06,1.04E-05,-1.16E-05,-1.20E-05,-4.89E-05,-3.09E-06,5.48E-06
211.22,-2.77E-06,4.15E-06,-8.04E-06,-2.75E-06,-3.62E-05,-4.15E-06,4.14E-06
211.42,-3.19E-06,3.83E-06,-1.17E-05,-3.63E-07,-2.35E-05,-5.21E-06,4.30E-06
211.63,-1.92E-07,1.04E-06,-2.30E-05,-5.61E-06,-1.08E-05,-6.27E-06,6.59E-06
211.83,5.39E-06,2.98E-06,-2.03E-05,-5.84E-06,2.65E-06,-8.55E-06,3.86E-06
212.03,5.06E-06,-3.15E-07,-1.58E-05,1.22E-06,1.77E-05,-1.36E-05,2.07E-06
212.23,2.51E-06,-4.62E-06,-1.33E-05,6.14E-06,3.28E-05,-1.86E-05,2.23E-06
212.44,3.81E-06,-3.26E-06,-1.49E-05,8.57E-06,4.79E-05,-2.36E-05,3.38E-06
212.64,2.25E-07,-3.55E-06,-1.67E-05,7.74E-06,5.29E-05,-1.87E-05,4.60E-06
212.84,-5.91E-06,3.07E-06,-1.32E-05,9.03E-06,4.89E-05,-4.92E-06,5.64E-06
213.05,-2.98E-06,1.38E-06,-1.59E-05,-7.00E-07,4.49E-05,8.86E-06,1.22E-05
213.25,-3.48E-06,2.26E-06,-1.66E-05,-7.69E-07,4.10E-05,2.26E-05,1.48E-05
213.45,-1.14E-06,1.73E-06,-1.41E-05,3.18E-06,2.32E-05,1.60E-05,1.58E-05
213.65,-5.41E-06,7.26E-06,-8.59E-06,4.38E-06,9.47E-07,2.75E-06,1.40E-05
213.86,-9.53E-06,9.01E-06,-6.85E-06,4.55E-06,-2.13E-05,-1.05E-05,1.37E-05
214.06,-1.11E-05,1.46E-05,-7.40E-06,7.41E-06,-4.36E-05,-2.37E-05,1.50E-05
214.26,-9.48E-06,1.40E-05,-1.33E-05,8.28E-06,-6.06E-05,-1.33E-05,1.71E-05
214.47,-1.30E-05,1.05E-05,-1.50E-05,3.40E-06,-7.76E-05,-2.48E-06,1.67E-05
214.67,-1.03E-05,1.88E-05,-1.43E-05,-5.34E-06,-9.45E-05,8.38E-06,1.81E-05
214.87,-4.17E-06,1.05E-05,-2.20E-05,-1.80E-05,-9.89E-05,1.62E-05,1.89E-05
215.08,-5.96E-06,1.74E-05,-1.86E-05,-1.01E-05,-5.49E-05,1.22E-05,1.37E-05
215.28,-4.40E-06,1.08E-05,-1.52E-05,-1.41E-05,-1.09E-05,8.23E-06,5.94E-06
215.48,-8.45E-06,1.47E-05,-2.03E-05,-2.18E-05,3.31E-05,4.25E-06,7.97E-06
215.68,-1.60E-06,1.73E-05,-2.31E-05,-2.39E-05,5.05E-05,5.69E-06,1.12E-05
215.89,-2.76E-06,1.79E-05,-2.86E-05,-3.10E-05,3.33E-05,1.42E-05,1.03E-05
216.09,4.39E-06,1.64E-05,-3.09E-05,-3.71E-05,1.60E-05,2.27E-05,1.19E-05
216.29,5.54E-06,2.08E-05,-2.77E-05,-3.97E-05,-1.20E-06,3.11E-05,8.76E-06
216.5,7.03E-06,1.83E-05,-2.99E-05,-4.08E-05,-5.94E-06,3.77E-05,1.03E-05
216.7,8.89E-06,1.15E-05,-2.43E-05,-2.84E-05,-4.35E-06,4.33E-05,6.20E-06
216.9,1.14E-06,2.17E-05,-1.54E-05,-1.72E-05,-2.76E-06,4.88E-05,4.71E-06
217.11,4.54E-06,2.14E-05,-1.84E-05,-1.67E-05,-1.17E-06,5.44E-05,6.17E-06
217.31,4.45E-06,2.74E-05,-2.29E-05,-1.46E-05,1.11E-05,4.41E-05,1.13E-05
217.51,4.00E-06,1.52E-05,-2.09E-05,-1.51E-05,2.46E-05,3.19E-05,8.23E-06
217.72,-2.65E-06,1.05E-05,-1.57E-05,-1.00E-05,3.82E-05,1.97E-05,3.54E-06
217.92,1.41E-06,8.95E-06,-1.46E-05,-2.46E-06,4.82E-05,9.26E-06,6.71E-06
