dye,photons,QY,corrected_photons_bayer,corrected_photons_sharp,corrected_photons_normal,percentage_normal_camera,percentage_bayer_camera,percentage_sharp_camera
ATTO 488,2073.0,0.8,739.2015,546.2792,1327.0264,100.0,55.703606,41.16566
Alexa Fluor 488,2811.0,0.92,1010.964,737.0723,1796.6741,100.0,56.26864,41.024265
Abberior Star 488,2969.0,0.89,1067.788,778.5015,1897.6611,100.0,56.26863,41.024265
CF488A,3879.0,0.9,1424.1522,1014.42194,2470.1743,100.0,57.653915,41.06682
Cy3B,23195.0,0.58,6896.8906,5008.461,15128.07,100.0,45.590023,33.10707
ATTO 565,11600.0,0.9,3412.1228,2332.5024,7580.6787,100.0,45.01078,30.769045
Janelia Fluor JF585-HaloTag conjugate,2429.0,0.78,669.7139,387.72745,1591.5989,100.0,42.07806,24.360878
CF568,13388.0,0.9,4207.412,3024.2756,8737.553,100.0,48.15321,34.61239
Cy5,7801.0,0.27,1566.0092,1058.9857,5120.003,100.0,30.5861,20.683304
Cy5B,17090.0,0.4,3460.595,2319.9675,11200.18,100.0,30.897675,20.713663
ATTO 643,23327.0,0.62,4792.4277,3166.6401,15227.938,100.0,31.471285,20.794937
ATTO 647N,18448.0,0.65,3756.608,2504.3757,12058.085,100.0,31.154266,20.769266
ATTO 655,8273.0,0.3,1703.4554,1123.0597,5374.568,100.0,31.694742,20.895813
CF640R,12024.0,0.3,2443.1672,1632.8391,7879.6577,100.0,31.006008,20.722208
CF660R,10399.0,0.3,2139.3699,1411.6643,6792.7803,100.0,31.49476,20.781834
abberior STAR 635,12731.0,0.9,2617.5784,1728.2333,8320.205,100.0,31.460503,20.771523
Janelia Fluor JF646-HaloTag conjugate,14440.0,0.54,2912.367,1960.9886,9465.899,100.0,30.766933,20.716349
Alexa Fluor 647,10348.0,0.33,2105.357,1404.741,6768.0874,100.0,31.107119,20.755362
Cy2,6241.0,0.12,2227.6587,1568.0854,3989.14,100.0,55.843086,39.30886
Cy3,11022.0,0.15,3561.6245,2777.7668,7162.2114,100.0,49.728,38.78365
"Tetramethylrhodamine (TAMRA, TRITC)",4884.0,0.2,1509.1155,1108.7844,3184.3044,100.0,47.39231,34.820305
Cy3.5,4968.0,0.15,1403.6252,941.9557,3250.1958,100.0,43.185867,28.981506
ATTO 647,1526.0,0.2,313.31525,207.15865,993.54095,100.0,31.535212,20.85054
ATTO 680,1656.0,0.3,347.80573,224.802,1070.3024,100.0,32.496025,21.003597
Cy5.5,6337.0,0.28,1321.3223,860.24774,4130.192,100.0,31.991789,20.828276
Cy7,852.0,0.28,187.03137,115.659,540.034,100.0,34.63326,21.416985
Alexa Fluor 750,703.0,0.12,154.23912,95.43225,445.27887,100.0,34.638767,21.432018
ATTO 740,779.0,0.1,159.01901,105.74925,489.28625,100.0,32.500202,21.61296
Alexa Fluor 790,740.0,0.1,170.1019,100.455,462.78,100.0,36.756535,21.706858
