dye,photons,QY,corrected_photons,photons remaining,precision_10nm,precision_5nm,colour_10perc,colour_5perc,xc_precision,colour_precision
ATTO 488,2073,0.8,1068.4808,51.5427303424988,1,0,1,0,5.00096953684461,0.054771450692474
Alexa Fluor 488,2811,0.92,1461.3007,51.9850836001423,1,1,1,1,3.00250874018563,0.0360816554440402
Abberior Star 488,2969,0.89,1543.4371,51.9850825193668,1,1,1,1,2.82815018465881,0.0338381949875981
CF488A,3879,0.9,2058.545,53.0689610724414,1,1,1,1,2.21864139050472,0.0259413199727328
Cy3B,23195,0.58,9969.13,42.9796507868075,1,1,1,1,0.925185278692501,0.00798152659954696
ATTO 565,11600,0.9,4932.0625,42.5177801724138,1,1,1,1,1.42901410858747,0.0115043423155959
Janelia Fluor JF585-HaloTag conjugate,2429,0.78,968.0399,39.8534335117332,1,0,1,1,5.93665069365891,0.0397168550001631
CF568,13388,0.9,6081.615,45.425866447565,1,1,1,1,1.21446198254357,0.0105427755061692
Cy5,7801,0.27,2263.5923,29.016694013588,1,1,1,1,2.71236404612917,0.0175014208859154
Cy5B,17090,0.4,5002.1265,29.269318314804,1,1,1,1,1.70079113989892,0.0103165103021678
ATTO 643,23327,0.62,6927.2285,29.6961825352596,1,1,1,1,1.41679791655575,0.00842107368608263
ATTO 647N,18448,0.65,5429.9995,29.4340822853426,1,1,1,1,1.62519946494938,0.00972220203314358
ATTO 655,8273,0.3,2462.2644,29.7626544179862,1,1,1,1,2.81181449307774,0.018483566607412
CF640R,12024,0.3,3531.483,29.3702844311377,1,1,1,1,2.07978977497226,0.0130450718336756
CF660R,10399,0.3,3092.3582,29.7370727954611,1,1,1,1,2.35683308164191,0.0151278931498161
abberior STAR 635,12731,0.9,3783.5862,29.7194737255518,1,1,1,1,2.02305895805518,0.0127059239374115
Janelia Fluor JF646-HaloTag conjugate,14440,0.54,4209.689,29.1529709141274,1,1,1,1,1.85918001761389,0.0114189547745483
Alexa Fluor 647,10348,0.33,3043.194,29.4085233861616,1,1,1,1,2.33407535582758,0.0148202152425175
Cy2,6241,0.12,3219.9753,51.5939000160231,1,1,1,1,1.85073923452309,0.0223457887941638
Cy3,11022,0.15,5148.16,46.7080384685175,1,1,1,1,1.34103753196346,0.013595299235989
"Tetramethylrhodamine (TAMRA, TRITC)",4884,0.2,2181.3552,44.6632923832924,1,1,1,1,2.34839649758095,0.0223798040216835
Cy3.5,4968,0.15,2028.874,40.8388486312399,1,1,1,1,2.60378039248871,0.0207867969403647
ATTO 647,1526,0.2,452.8824,29.677745740498,0,0,1,0,12.9459423422506,0.0825911026278313
ATTO 680,1656,0.3,502.73676,30.3585,0,0,1,0,13.0974066536275,0.0812861444779887
Cy5.5,6337,0.28,1909.909,30.1390089947925,1,1,1,1,3.29081912771447,0.0224587137464501
Cy7,852,0.28,270.345,31.7306338028169,0,0,0,0,30.1720239021367,0.160061129580904
Alexa Fluor 750,703,0.12,222.94537,31.7134238975818,0,0,0,0,41.9151874232841,0.196978824132364
ATTO 740,779,0.1,229.85446,29.5063491655969,0,0,0,0,39.9372825198912,0.191448335318219
Alexa Fluor 790,740,0.1,245.87425,33.22625,0,0,0,0,39.8836665711435,0.187474054044422
