dye,photons,corrected_photons,percentage remaining,precision_10nm,precision_5nm,colour_10perc,colour_5perc
ATTO 488,2073,739.2015,35.6585383502171,1,0,1,0
Alexa Fluor 488,2811,1010.964,35.9645677694771,1,0,1,0
Abberior Star 488,2969,1067.788,35.9645671943415,1,1,1,0
CF488A,3879,1424.1522,36.7144160866203,1,1,1,1
Cy3B,23195,6896.8906,29.7343849967665,1,1,1,1
ATTO 565,11600,3412.1228,29.4148517241379,1,1,1,1
Janelia Fluor JF585-HaloTag conjugate,2429,669.7139,27.5715891313298,1,0,1,0
CF568,13388,4207.412,31.4267403645055,1,1,1,1
Cy5,7801,1566.0092,20.0744673759774,1,1,1,1
Cy5B,17090,3460.595,20.2492393212405,1,1,1,1
ATTO 643,23327,4792.4277,20.5445522356068,1,1,1,1
ATTO 647N,18448,3756.608,20.3632263660017,1,1,1,1
ATTO 655,8273,1703.4554,20.5905403118579,1,1,1,1
CF640R,12024,2443.1672,20.3190884896873,1,1,1,1
CF660R,10399,2139.3699,20.5728425810174,1,1,1,1
abberior STAR 635,12731,2617.5784,20.5606660906449,1,1,1,1
Janelia Fluor JF646-HaloTag conjugate,14440,2912.367,20.1687465373961,1,1,1,1
Alexa Fluor 647,10348,2105.357,20.3455450328566,1,1,1,1
Cy2,6241,2227.6587,35.6939384713988,1,1,1,1
Cy3,11022,3561.6245,32.3137769914716,1,1,1,1
"Tetramethylrhodamine (TAMRA, TRITC)",4884,1509.1155,30.8991707616708,1,1,1,1
Cy3.5,4968,1403.6252,28.2533252818035,1,1,1,1
ATTO 647,1526,313.31525,20.5317988204456,0,0,0,0
ATTO 680,1656,347.80573,21.00276147343,0,0,0,0
Cy5.5,6337,1321.3223,20.850912103519,1,1,1,1
Cy7,852,187.03137,21.9520387323944,0,0,0,0
Alexa Fluor 750,703,154.23912,21.9401308677098,0,0,0,0
ATTO 740,779,159.01901,20.4132233632863,0,0,0,0
Alexa Fluor 790,740,170.1019,22.9867432432432,0,0,0,0
