dye,photons,QY,corrected_photons
ATTO 488,2073.0,0.8,1068.4808
Alexa Fluor 488,2811.0,0.92,1461.3007
Abberior Star 488,2969.0,0.89,1543.4371
CF488A,3879.0,0.9,2058.545
Cy3B,23195.0,0.58,9969.13
ATTO 565,11600.0,0.9,4932.0625
Janelia Fluor JF585-HaloTag conjugate,2429.0,0.78,968.0399
CF568,13388.0,0.9,6081.615
Cy5,7801.0,0.27,2263.5923
Cy5B,17090.0,0.4,5002.1265
ATTO 643,23327.0,0.62,6927.2285
ATTO 647N,18448.0,0.65,5429.9995
ATTO 655,8273.0,0.3,2462.2644
CF640R,12024.0,0.3,3531.483
CF660R,10399.0,0.3,3092.3582
abberior STAR 635,12731.0,0.9,3783.5862
Janelia Fluor JF646-HaloTag conjugate,14440.0,0.54,4209.689
Alexa Fluor 647,10348.0,0.33,3043.194
Cy2,6241.0,0.12,3219.9753
Cy3,11022.0,0.15,5148.16
"Tetramethylrhodamine (TAMRA, TRITC)",4884.0,0.2,2181.3552
Cy3.5,4968.0,0.15,2028.874
ATTO 647,1526.0,0.2,452.8824
ATTO 680,1656.0,0.3,502.73676
Cy5.5,6337.0,0.28,1909.909
Cy7,852.0,0.28,270.345
Alexa Fluor 750,703.0,0.12,222.94537
ATTO 740,779.0,0.1,229.85446
Alexa Fluor 790,740.0,0.1,245.87425
